english,hebrew
obsession,"אובססיה, דיבוק"
obsolete,מיושן
obstacle,מכשול
obstinate,עקשן
obtain,להשיג
obviously,ברור
occasion,"אירוע, סיבה, הזדמנות"
occasional,"מדי פעם, מקרי"
occasionally,מידי פעם
occasions,"הזדמנויות, מקרים"
occupy,להעסיק
occupy,"לתפוס, לאכלס"
occur,"קרה, התרחש"
occurrence,התרחשות
ocean,אוקיינוס
octopus,תמנון
odd,אי זוגי
odd,מוזר
ode,שיר הלל
odor,"ריח, ניחוח"
of  -,"של, מ"
of course,"כמובן, בוודאי"
offend,להעליב
offender,"פושע, פוגע"
offensive,"מעליב, פוגעני"
offer,"הצעה, להציע"
official,"רשמי, מאושר"
officiate,"לכהן, לערוך"
offset,לקזז
offshore,"חו""ל"
often,לעיתים קרובות
oil,"נפט, שמן, לשמן"
old-fashioned,מיושן
olive,זית
omission,"השמטה, הזנחה"
omit,"להשמיט, להזניח"
on,על
on the contrary,בניגוד לכך
on top of,"על, מעל"
once,פעם אחת
once  -,ברגע ש
once in a while,מידי פעם
ongoing,מתמשך
onion,בצל
only,רק
open,"לפתוח, פתוח"
operate,לנתח
operate,"לפעול, להפעיל, לתפעל"
operation,"מבצע, פעולה"
operation,ניתוח
opinion,דעה
opponent,"יריב, מתנגד"
opportunity,הזדמנות
opposite,"מנוגד, ממול"
opposition,"אופוזיציה, התנגדות"
oppressive,אכזרי
oppressive,"מדכא, מעיק"
option,"אפשרות, אופציה"
or,או
orbit,"לחוג, להסתובב"
orchestra,תזמורת
orchestrate,"לתאם, לתזמר"
order,להזמין
order,לצוות
order,מסדר דתי
orderly,מסודר
ordinarily,בדרך- כלל
ordinary,רגיל
organ,איבר
organic,אורגני
organization,ארגון
organize,לארגן
orient,להתמצא
orientation,התמצאות
oriented,"מכוון, מונחה"
origin,"מקור, מוצא"
original,מקורי
originality,מקוריות
originate,"התחיל, התהווה"
ornament,קישוט
otherwise,אחרת
outbreak,התפרצות
outcome,תוצאה
outdated,מיושן
outer,חיצוני
outline,"תוואי, מתאר, קווים כלליים"
outside,בחוץ
outside,חוץ
outspoken,"מדבר גלויות, ישיר"
outstanding,"יוצא מן הכלל, מצוין"
outweigh  -,"עולה על, שוקל יותר מ"
oven,תנור בישול
over,"מחדש, שוב"
over,"על, מעל"
overall,"כולל, באופן כללי"
overcome,להתגבר
overdo,"להפריז, להגזים"
overdue,שעבר זמן ההגשה שלו
overhaul,"שיפוץ, אוברול"
overlaps,חופף
overlooked,העלים עין
overly,יותר מידי
oversee,לפקח
overtake,"לעקוף, להשיג"
overwhelm,מהמם
owe,להיות חייב
owing to  -,הודות ל
own,בעלות על משהו
own,משלו
owner,בעלים
oxygen,חמצן
pace,קצב
package,"חפיסה, חבילה"
pad,לרפד
paddle,מחבט
paddle,"משוט, דוושה"
pain,"כאב, להכאיב"
painter,צייר
painting,ציור
pair,זוג
palm,דקל
palm,כף יד
pan,מחבת
paradox,"סתירה, פרדוקס"
paragraph,פִסקה
parallel,מקביל
paramount,בעל חשיבות עליונה
pardon,"לחון, חנינה"
pardon,"סליחה, לסלוח"
parent,הורה
parenting,הורות
part,חלק
partial,חלקי
participate,השתתף
particular,"מיוחד, לא רגיל"
particularly,"במיוחד, בפרט"
particulars,פריטים
party,מסיבה
party,מפלגה
pass,"להעביר, למסור"
pass,לוותר
passion,תשוקה
passive,סביל
past,"עבר, שעבר"
path,"דרך, נתיב"
pathology,"פתולוגיה, ענף ברפואה"
patience,סבלנות
patient,חולה
patient,סבלני
patiently,בסבלנות
patients,מטופלים
pattern,דוגמה
pause,"הפסקה, להפסיק"
pay,לשלם
peace,שלום
peach,אפרסק
peddler,"רוכל, סוחר"
pedestrian,הולך רגל
peek,להציץ
penalty,קנס
people,אנשים
pepper,פלפל
per,לכל
perceive,"להבחין, לראות"
percent,אחוז
perch,"נח, ישב על ענף"
perch,ענף
perfect,"להשלים, לשפר"
perfect,מושלם
perform,"לבצע, להציג"
performance,ביצוע
performance,הופעה
performer,"מבצע, מציג"
perhaps,אולי
period,"משך זמן, מחזור"
period,נקודה
period,תקופה
permanent,קבוע
permanently,קבוע
permission,"רשות, היתר"
permit,"אישור, רישיון"
permit,להרשות
perpetually,"נצחי, לנצח"
perpetuate,להנציח
persist,"להתמיד, להתעקש"
person,אדם
personal,אישי
personality,אישיות
persuade,לשכנע
persuasion,שכנוע
pervasive,"מתפשט, מחלחל"
pet,חיית מחמד
petition,"עצומה, עתירה, לעתור"
petroleum,נפט
petty,"קטן, חסר חשיבות"
petty,קטנוני
pharmacy,בית מרקחת
phase,"שלב, דרגה"
phenomenon,תופעה
philosophy,פילוסופיה
phobia,"פוביה, פחד כרוני"
photograph,"צילום, לצלם"
physical,"פיזי, גופני"
physicist,פיזיקאי
pick,"לקטוף, לבחור"
pick,מפרט לגיטרה
picture,לדמיין
picture,"תמונה, לצלם"
piece,"חתיכה, חלק"
piece,יצירה
pigeon,יונה
pilot,טייס
pinch,לצבוט
pioneer,חלוץ
pipe,צינור
pit,בור
pivot,"ציר, לסובב על ציר"
place,"מקום, למקם"
plague,מגפה
plan,לתכנן
plan,תכנית
plane,מטוס
plane,מישור
planet,כוכב לכת
plant,"צמח, עציץ, לשתול"
plaster,טיח
plate,"צלחת, לוח"
plausible,"סביר, מתקבל על הדעת"
play,מחזה
play,"משחק, לשחק"
playwright,מחזאי
plead,"לעתור, להתחנן"
pleasure,"תענוג, לענג"
pledge,להתחייב
plentiful,"מלא, שופע"
plight,"צרה, סכנה"
plot,להכין תרשים
plot,"לזמום, לקשור קשר"
plot,עלילה
plunge,טבילה
poacher,"מסיג גבול, צייד לא מורשה"
poet,משורר
poignant,"חריף, נוקב"
poisonous,רעיל
polar,"קוטבי, הפוך לחלוטין"
pole,מוט
pole,קוטב
policy,מדיניות
polish,"להבריק, לצחצח"
polish,פולני
polite,מנומס
poll,"סקר, הצבעה"
pollution,זיהום
pool,בריכה
poor,"עני, מסכן"
poorly,בצורה גרועה
population,אוכלוסייה
populous,מאוכלס בצפיפות
portrait,דיוקן
portray,"לתאר, לצייר"
position,"מיקום, למקם"
position,תנוחה
position,"תפקיד, משרה"
possess  -,"להיות בעלים של, להחזיק ב"
possession,"בעלות, חזקה"
possible,אפשרי
post,"להציב, למנות ; עמדה, משרה, תפקיד"
post,לפרסם ; פרסום
post,לשלוח בדואר ; דואר
post,עמוד
postage,דבר דואר
posterity,הדורות הבאים
postpone,לדחות
pot,"סיר, קדרה"
potato,תפוח אדמה
potent,"חזק, בעל כוח השפעה"
potential,"אפשרי, פוטנציאלי"
pothole,"מהמורה, בור"
potter,קדר
pottery,קדרות
poultry,עוף
poverty,עוני
poverty-stricken,מוכה עוני
powerful,רב כוח
practical,מעשי
practice,"לתרגל, תרגול"
praise,לשבח
prank,מתיחה
precedent,תקדים
preceding,קודם
precious,יקר
precise,מדויק
precision,דיוק
predecessors,קודמים
predestined,נקבע מראש
predict,לצפות מראש
prediction,"חיזוי, ניבוי"
predictive,נבואי
predominantly,באופן ניכר
preferable,עדיף
pregnancy,הריון
prehistoric,"קדמון, פרה- היסטורי"
prejudice,דעה קדומה
premature,מוקדם מדי
preparation for,הכנות לקראת
prepare,התכונן
prescribe,לרשום מרשם
prescription,מרשם
presence,נוכחות
present,"הווה, נוכח, קיים"
present,להציג
present,מתנה
presentation,מצגת
presently,כעת
preserve,לשמר
preside,לנהל
president,נשיא
prestigious,יוקרתי
presume,להניח
pretend,להעמיד פנים
pretext,"אמתלה, תואנה"
prevalent,"נפוץ, שכיח, רווח"
prevent,למנוע
prevention,מניעה
previous,קודם
previously,"הקודם, לפני- כן"
prey,"טרף, לטרוף"
price,מחיר
prick,לדקור
pride,גאווה
priest,כומר
primarily,בעיקר
primary,"יסודי, עיקרי"
prime,"ראשוני, עיקרי, מובחר"
primitive,"קדום, חסר תרבות"
principal,מנהל בית ספר
principle,עיקרון
principle,עיקרי
printer,"מדפסת, דַּפָּס"
prior,קודם
prior to,"קודם ל- , לפני"
priority,עדיפות
prison,כלא
private,פרטי
privilege,"זכות יתר, פריביליגיה"
prize,פרס
probable,"סביר, מתקבל על הדעת"
probably,"כנראה, קרוב לוודאי"
probation,תקופת מבחן
probe,"לחטט, לברר, לגשש"
problem,בעיה
process,"לעכל, לעבד"
process,תהליך
produce,לייצר
produce,"תוצר, ירקות ופירות"
product,מוצר
profession,מקצוע
professional,מקצועי
profit,רווח
profitable,רווחי
profound,"מוחלט, מאוד"
profound,מעמיק
profoundly,עמוקות
program,לתכנת
program,תכניה
program,תכנית
progress,"התקדמות, להתקדם"
progressive,מתקדם ומתמשך
prohibit,"לאסור, למנוע"
project,"להשליך, להקרין"
project,לתכנן
project,"פרוייקט, מיזם"
proliferate,התפשט במהירות
prolific,"פורה, שופע"
prolong,מתמשך
prominent,"בולט, חשוב"
promise,"הבטחה, להבטיח"
promote,לקדם
promotion,קידום
prompted,הביא לידי
prone,נוטה
proof,"הוכחה, ראיה"
propaganda,תעמולה
propel,"להניע, לדחוף"
proper,"מתאים, הולם"
properly,כראוי
property,רכוש
property,תכונה
prophecy,נבואה
proponent,תומך
proportion,"שיעור, מידה"
proposal,הצעה
propose,להציע
propose,"להציע, להציע נישואין"
proposition,הצעה
prospective,"צפוי, עתידי"
prosper,לשגשג
prosperity,"צמיחה, שגשוג"
prosperous,"משגשג, מצליח"
protect,להגן
protest,"למחות, הפגנה"
prove,להוכיח
proverb,"פתגם, אמרה"
provide,לספק
provide,לפרנס
provided that  -,בתנאי ש
province,"מחוז, אזור"
provoke,"להתגרות, להסית"
prowess,"מיומנות, יכולת"
public,ציבורי
publication,הוצאה לאור
publicized,פורסם
publish,"לפרסם, להוציא לאור"
publisher,מוציא לאור
pump,"משאבה, לשאוב"
punctuate,הדגשה
punctuation,"ניקוד, פיסוק"
punish,להעניש
pupil,תלמיד
purchase,"לקנות, לרכוש"
pure,טהור
purification,טיהור
purpose,"כוונה, מטרה"
purposely,בכוונה
purse,ארנק
pursue,לרדוף
pursuit,מרדף
puzzle,"חידה, פאזל"
puzzled,מבולבל
quake,רעד
qualify,להיות מוסמך
quality,איכות
quantify,לכמת
quantity,כמות
quarrelsome,וכחני
quarter,רבע
queen,מלכה
quench,"לספק, להרוות"
query,"שאלה, חקירה"
question,להטיל ספק
question,שאלה
quick,זריז
quiet,שקט
quite,למדי
quote,ציטוט
race,גזע
race,מרוץ
radiation,קרינה
radically,באופן קיצוני
rage,זעם
raid,פשיטה
rail,"מעקה, מסילה"
railroad,מסילת רכבת
rain,גשם
rainbow,קשת
rainfall,ירידת גשמים
rainstorm,סערת גשמים
raise,להעלות
random,"מקרי, אקראי"
randomly,באקראיות
range,טווח
range,מטווח
range,רכס
rank,דרגה
rapid,"אֶשֶד, זרם מים מהיר בנהר"
rapid,מהיר
rapidly,במהירות
rare,נדיר
rarely,לעיתים נדירות
rat,עכברוש
rates,"שיעור , היקף, תעריף"
rather,למדי
rather,עדיף
rather than  -,"במקום, יותר מ"
rational,"הגיוני, רציונאלי"
rationalize,"להצדיק, להסביר"
raw,"גולמי, גס"
ray,"קרן, אלומת אור"
razor,סכין גילוח
react,להגיב
reaction,תגובה
reader,קורא
readily,ללא קושי
readiness,מוכנות
reality,מציאות
realize,הבין
reap,לקצור
rear,אחורי
rear,"לטפח, לגדל"
rearing,"גידול, טיפוח"
reason,הגיון
reason,סיבה
reasonable,הגיוני
reassurance,"הבטחה, הרגעה"
rebel,מורד
rebellion,מרד
rebellious,"סורר, מרדני"
reborn,נולד מחדש
rebuttal,"הפרכה, סתירה"
recall,"להחזיר, להשיב צלצול"
recall,להיזכר
receive,לקבל
recent,שארע לאחרונה
recently,לאחרונה
recession,מיתון
recipe,מתכון
recipient,נמען
reciprocate,הדדי
recognition,הכרה
recognize,לזהות
recollection,זיכרון
recommend,להמליץ
reconcile,להתפייס
reconstruct,לשחזר
record,להקליט
record,לתעד
record,רשומה
record,שיא
recordings,הקלטות
recover,להתאושש
recreate,"לשחזר, ליצור מחדש"
recreation,בילוי
recruit,לגייס
recruitment,גיוס
recur,קרה שוב
recurring,"חוזר, נשנה"
recycle,למחזר
recycling,מחזור
reduce,להפחית
refer,מתייחס
reference,"התייחסות, הפניה"
refined,"מעודן, מלוטש"
reflect,להרהר
reflect,"לשקף, להחזיר אור"
reflection,השתקפות
reform,"שינוי, רפורמה"
refugee,פליט
refund,החזר
refuse,"אשפה, זבל"
refuse,לסרב
refute,להפריך
regain,להשיג מחדש
regard,"להתייחס, להחשיב"
regardless,"למרות, ללא קשר"
regime,"שלטון, משטר"
region,"מחוז, אזור"
register,להירשם
registration,הרשמה
regret,"להתחרט, חרטה"
regularly,באופן קבוע
regulate,לווסת
regulation,תקנה
rehabilitation,שיקום
rehearsal,חזרה
rehearse,"לחזור, לתרגל"
reign,שלטון
reigned,"משל, שלט"
reincarnation,גלגול נשמות
reinforce,"לתגבר, לחזק"
reinvigorate,"לרענן, להמריץ מחדש"
reject,לדחות
relapse,"הדרדר, הישנות"
relate,"להתייחס, לקשר"
relating,מתייחס
relations,יחסים
relationship,מערכת יחסים
relative,יחסי
relative,קרוב- משפחה
relatively,"בקרוב, באופן יחסי"
relax,להירגע
release,לשחרר
relegated,הורד בדרגה
relevant,"רלוונטי, קשור"
reliable,"אמין, שניתן לסמוך עליו"
reliance,הסתמכות
relic,"שארית, שריד"
relieve,להקהל
religion,דת
religious,דתי
relocate,למקם מחדש
reluctant,"מסויג, לא מעוניין"
rely,להסתמך
remainder,שארית
remains,"נשאר, עדיין"
remains,שרידים
remarkable,"ראוי לציון, יוצא דופן"
remedy,תרופה
remote,מרוחק
remove,להסיר
renew,לחדש
renovate,"לחדש, לשפץ"
renown,ידוע
reorganize,לארגן מחדש
repair,לתקן
repeat,לחזור
repeat,שידור/מאורע חוזר
repelled,"דחה, הגעיל"
repetition,חזרה
replace,להחליף
replacement,מחליף
replica,העתק מדויק
reply,להשיב
report,"דיווח, לדווח"
reporter,עיתונאי
represent,"לייצג, מייצג"
repressive,מדכא
reproduce,"להתרבות, לשכפל"
reputation,"שם, מוניטין"
request,"בקשה, לבקש"
require,"לדרוש, דרישה"
rescue,להציל
research,מחקר
resemble,דומה
resent,"להתנגד, להתרעם"
reservation,שמורה
reservation,שריון מקום
reserve,לשמור
reserve,"עתודה, מילואים"
reserve,שמורה
reservoir,מאגר
residence,מגורים
resident,תושב קבע
resigned,התפטר
resist,להתנגד
resistance,"התנגדות, מחתרת"
resolve,לפתור
resolve,נחוש
resort,אתר נופש
resort,לנקוט באמצעים
resource,משאב
resourceful,בעל תושייה
respect,"כבוד, לכבד"
respectfully,בכבוד
respective,שייך בהתאמה
respectively,בהתאמה
respond,"להגיב, תגובה, תשובה"
responsibility,אחריות
responsible,אחראי
rest,"יתר, שאר"
rest,מנוחה
restaurant,מסעדה
restore,"לשקם, לשחזר"
restrain,לרסן
restrict,להגביל
restriction,הגבלה
result,תוצאה
result in  -,הסתיים ב
resume,להמשיך
resumption,חידוש
resurgence,תחייה
retain,"להחזיק, לשמור"
retire,לפרוש
retirement,פרישה
retreat,"לסגת, נסיגה"
retrieve,להשיב
retroactive,"רטרואקטיבי, למפרע"
reveal,לחשוף
revenue,"הכנסה, רווח"
review,ביקורת
review,"לסקור, סקירה"
revise,"לתקן, לשפר"
revision,בדיקה מחדש לצורך שיפור
revitalize,להחיות
revived,"קם לתחייה, התחדש"
revoke,"לבטל, לשלול"
revolt,מרד
revolution,מהפכה
reward,"פרס, לתגמל"
rhyme,חרוז
rhythm,קֶצֶב
rice,אורז
rich,עשיר
ride,"רכיבה, לרכוב"
ridicule,ללעוג
ridiculous,מגוחך
right,זכות
right,ימינה
rigid,"נוקשה, מחמיר"
rim,שפה
ring,זירה
ring,טבעת
rise,"עליה, לעלות"
rising,זריחה
rising,עולה
risk,"סיכון, לסכן"
ritual,"טקס, פולחן"
rival,יריב
rivalry,יריבות
river,נהר
road,דרך
roast,"לקלות, צלי"
robbery,שוד
robe,חלוק
rocket,טיל
rodent,מכרסם
role,תפקיד
roof,גג
root,שורש
rope,חבל
rotary,נע על ציר סיבובי
rough,"קשה, מחוספס"
route,"מסלול, דרך"
rub,לשפשף
rubber,גומי
rubbish,זבל
rubbish,שטויות
rudimentary,"יסודי, בסיסי"
ruin,להרוס
ruins,"הריסות, עיי חורבות"
rule,"כלל, חוק, שלטון"
rule,"לשלוט, לפסוק, להחליט"
ruler,"מושל, שליט"
ruler,סרגל
rumor,שמועה
rural,כפרי
sacred,קדוש
sacrifice,"להקריב, קורבן"
safe,בטוח
safety,בטיחות
saga,"סיפור, סאגה"
sailor,ימאי
sake,"תועלת, עניין"
salary,שכר
salt,מלח
salvation,"ישועה, גאולה"
sample,דוגמית
sanction,"קנס, עונש, עידוד"
sarcophagus,ארון קבורה קדום
satellite,לווין
satisfaction,שביעות רצון
satisfy,"לרצות, לספק"
saturated,רווי
savanna,"ערבה, סוואנה"
save,לשמור
saw,מסור
scale,"לעלות, לטפס"
scale,מאזניים
scale,"סולם, סקלה"
scan,"סריקה, לסרוק"
scarce,נדיר
scare,"פחד, להפחיד"
scatter,לפזר
scene,זירה
scene,סצנה
scenery,נוף
schedule,לוח זמנים
scholar,"אקדמאי, בעל מלגה, מלומד"
school,בית- ספר
science,מדע
scientist,מדען
score,לזכות בניקוד
score,"לחתוך, לחרוץ"
score,תוצאה
scorn,"לבוז, לזלזל, מנודה"
screen,לסנן
screen,לסרוק
screen,"מסך, צג, וילון"
script,תסריט
scrutinize,"בדק, בחן"
sculpture,פסל
seafood,פירות ים
search,"חיפוש, לחפש"
season,לתבל
season,עונה
seat,"מושב, להושיב"
secret,סוד
section,"יחידה, חלק"
secular,חילוני
secure,"להבטיח, לשמור, להגן"
sedative,"סם הרגעה, משכך"
seeds,זרעים
seek,לבקש
seem  -,"נראה כ- , דומה ל"
segment,"קטע, מקטע"
segregation,הפרדה
seizure,התקף
seldom,לעיתים רחוקות
select,לבחור
selective,סלקטיבי
self-confidence,בטחון- עצמי
self-indulgence,סיפוק- עצמי
sell,למכור
send,לשלוח
senior,בכיר
senior,זקן
sensation,תחושה
sensations,חדשות מרעישות
sense,"היגיון, תודעה"
sense,"חוש, לחוש"
sensible,נבון
sensitive,רגיש
sensitivity,רגישות
sentence,גזר דין
sentence,משפט
sentiments,רגשות
separately,בנפרד
separation,הפרדה
sequel,המשך
sequence,רצף
series,סדרה
serious,"רציני, חמור"
servant,משרת
serve,"להגיש, לשרת"
serve,לשרת
service,שירות
session,מושב
set up,"להרכיב, לארגן, לסדר"
settle,להסדיר
settle,להתיישב
several,"אחדים, כמה"
severe,חמור
shadow,"צל, להאפיל"
share,לחלוק
share,מניה
sharp,חד
shatter,"לנפץ, להרוס, לקעקע"
shave,"גילוח, לגלח"
sheer,"מוחלט, לחלוטין"
sheer,"משופע, תלול"
sheer,שקוף
sheet,דף
sheet,סדין
shell,פגז
shell,"קליפה, מעטפת"
shelter,מקלט
shepherd,רועה צאן
shield,"מגן, להגן"
shift,להזיז
shift,משמרת
shingles,רעף
shiny,"נוצץ, בוהק"
ship,אוניה
ship,לשלוח
shipment,משלוח
shop,חנות
shop,לקנות
short,קצר
shortage,מחסור
shortly,"בקיצור, בקרוב"
shoulder,כתף
show,הופעה
show,להראות
shrink,"לכווץ , כיווץ"
shroud,"תכריך, עטיפה"
shuttle,מעבורת
shy,ביישן
side,"צד, לצודד, לתמוך"
side effect,תופעת לוואי
sideways,הצידה
sight,"ראייה, כוונת"
sighting,"תצפית, מראה"
sign,לחתום
sign,"סימן, לסמן"
signal,"אות, סימן, לאותת"
signature,חתימה
significance,"משמעות, חשיבות"
significant,משמעותי
significantly,באופן משמעותי
silent,"דומם, שקט"
silently,בשקט
silk,משי
silkworm,תולעת משי
silver,"כסף, כסוף"
similar,דומה
similarly,באופן דומה
simple,פשוט
simplicity,פשטות
simplify,לפשט
simply,בפשטות
simulate,"לדמות, לחקות"
simultaneously,בו זמנית
sin,חטא
since,מאז
since  -,מכיוון ש
sincerity,כנות
singer,זמר
single,יחיד
single,רווק
sink,כיור
sink,לשקוע
sir,"אדון, תואר אצולה אנגלי"
situation,"מצב, סיטואציה"
size,גודל
skepticism,ספקנות
sketch,"שרטוט, איור, סקיצה"
skill,"יכולת, מיומנות"
skin,עור
skinned,פשט עור
sky,"שמיים, רקיע"
skyrocket,להאמיר
skyscraper,גורד שחקים
slander,"השמצה, להשמיץ"
slant,"אלכסון, נטייה"
slate,להכניס מישהו לרשימה
slate,"רעף, לוח"
slaughter,"לטבוח, לשחוט, טֶבַח"
slaughterhouse,בית מטבחיים
slave,עבד
slavery,עבדות
sleep,לישון
sleep,שינה
slender,רזה
slight,"קל, מעט"
slope,"שיפוע, מדרון"
slow,"איטי, לאט"
slow down,להאט
smog,ערפיח
smoke,"עשן, לעשן"
snake,נחש
snap,להישבר
snarl,"לרטון, לנחור"
sneeze,להתעטש
snicker,גיחוך
snow,שלג
so,"אז, כך ש- , ולכן"
so,"כל- כך, מאוד"
so long as,כל עוד
so that  -,כך ש
soar,להמריא
sober,פיכח
soccer,כדורגל
social,חברתי
soil,אדמה
soil,לכלוך
sold,מכר
soldier,חייל
solely,"בלבד, רק"
solicit,לבקש/לחפש בתחינה
solicit,לשדל / להדיח
solitary,מבודד
solitude,בדידות
solution,פתרון
solve,לפתור
sometimes,"לעיתים, לפעמים"
soon,"בהקדם, מוקדם"
sophisticated,מתוחכם
sorrow,"עצב, צער"
sort,למיין
soul,נשמה
sound,בריא
sound,קול
source,מקור
southern,דרומי
space,חלל
space,רווח
spacious,מרווח
span,"להימתח, להקיף"
span,מרווח
spare,"מיותר, עודף"
spark,"גיץ, ניצוץ"
speaker,דובר
special,מיוחד
specialize,להתמחות
species,"מין, זן"
specifically,במיוחד
specify,לפרט
speck,כתם
spectacular,מדהים
spectator,"צופה, משקיף"
speech,דיבור
speed,מהירות
spell,"איות, לאיית"
spell,"כישוף, קסם"
spend,"לבזבז, לפזר"
spend,"לבלות, להעביר"
sperm,זרע
spewing,להזרים
spice,"תבלין, לתבל"
spicy,פיקנטי
spider,עכביש
spike,יתד
spill,לשפוך
spinach,תרד
spirit,"כוונה, רוח הדברים"
spirit,"רוח רפאים, נפש"
spiritual,רוחני
splendid,"נהדר, מהולל"
splendor,פאר
spoil,"לבזוז, שלל"
spoil,להרוס
spoil,לפנק
spoil,לקלקל
sponsor,נותן חסות
spontaneous,ללא מחשבה
spontaneously,ללא תכנון
spot,כתם
spot,לזהות
spotlight,זרקור
sprang,נבע
spray,"לרסס, לפזר"
spread,"התפשטות, פיזור"
spread,"ממרח, למרוח"
spring,אביב
spring,מעיין
spy,"מרגל, לרגל"
square,כיכר
square,ריבוע
stability,יציבות
stabilize,לייצב
stable,יציב
stack,ערמה
stadium,אצטדיון
stage,"במה, לביים"
stain,כתם
staircase,גרם מדרגות
stalk,"לעקוב, להטריד"
stamina,"כושר עמידה, סיבולת"
stamp,"בול, חותמת"
stand,לעמוד
standard,"רמה, תקן, מקובל"
standardize,לתקנן
staple,להדק
star,"כוכב, לככב"
stark,"בוטה, מוחלט, גמור"
stark,"שומם, עזוב"
start,להתחיל
starve,לרעוב
state,מדינה
state,מצב
statement,הצהרה
station,להציב
station,תחנה
statue,פסל
staunch,"חזק, מוצק"
staunch,"לעצור, לחסום"
steady,"קבוע, יציב"
steal,לגנוב
steam,"אד, לאדות"
steamship,אוניית קיטור
steel,פלדה
stem,גזע
step,"צעד, לצעוד"
stereotype,סטריאוטיפ
sticky,דביק
stiff,נוקשה
still,"נייח, דומם, שקט"
still,"עדיין, למרות זאת"
stimulate,"לעורר, להמריץ"
stock,לאחסן
stock,מלאי
stock,מניה
stomach,"בטן, קיבה"
stone,אבן
storage,אחסון
store,"חנות, לאחסן"
store,לאחסן
storm,סערה
stove,"תנור, כיריים"
straighten,ליישר
straightforward,ישיר
strain,"להתאמץ, למתוח, לנקוע"
strain,מתח נפשי
strange,מוזר
strategy,אסטרטגיה
stream,"לזרום, נחל, זרם"
strength,חוזק
strengthen,לחזק
stress,להדגיש
stress,"מתח, לחץ, מצוקה"
stricken,מוכה
strict,נוקשה
stride,"צעד, לצעוד"
strife,"מאבק, עימות"
strike,"הכה, התקיף"
strike,שביתה
stripes,פסים
strive,לשאוף
stroke,ליטוף
stroke,מכה
stroke,שבץ/אירוע מוחי
strong,חזק
stronghold,מאחז
structure,"מבנה, לבנות"
struggle,"מאבק, מאמץ"
stubborn,עקשן
stuck,תקוע
studio,סטודיו
study,חדר עבודה
study,מחקר
stuff,דברים
stuff,"למלא, לפחלץ"
stumble,למעוד
stunned,"נדהם, היה המום"
stunt,פעלול
stupid,טיפש
subdue,להכניע
subject,"למסור, להעביר לבעלות אחר"
subject,נושא
subject,"נתין, אזרח, אדם"
subject  -,"נתון ל- , בכפוך ל"
subjective,"אישי, משוחד בדעתו"
submit,להגיש
submit,להיכנע
subsequent,עוקב
subsequently,כתוצאה מכך
substance,"חומר, תוכן"
substitute,תחליף
subtle,מעודן
suburban,פרברי
succeed,הצליח
success,הצלחה
successor,יורש
such as,כמו למשל
suddenly,לפתע
suffer,לסבול
sufficient,מספיק
sugar,סוכר
suggest,להציע
suicide,התאבדות
suitable,"ראוי, מתאים, יאה"
sum,"סכום, סך, לסכם"
sum up,לסכם
summarize,לסכם
summary,"סיכום, תמצית"
summer,קיץ
summits,פסגות
sundown,שקיעה
sunlight,אור יום
superficial,שטחי
superfluous,"מיותר, עודף"
superior,עליון
supervise,לפקח
supplement,תוסף
supply,אספקה
support,"תמיכה, לתמוך"
supportive,תומך
suppression,דיכוי
supreme,עליון
surely,ללא ספק
surface,פני שטח
surgery,ניתוח
surpass,"להצטיין, לעלות על"
surprise,הפתעה
surprisingly,במפתיע
surrender,להיכנע
surround,להקיף
surrounding,"מקיף, סובב"
surveillance,מעקב
survey,"לבחון, לסקור"
survey,סקר
survival,הישרדות
survive,לשרוד
susceptible,רגישות
suspect,לחשוד
suspend,להשעות
suspense,"השהיה, מתח"
sustain,להמשיך באותה צורה
sustain,לתמוך
sustain  -,סבל מ
swallow,לבלוע
sweep,לטאטא
sweet,"מתוק, ממתק"
swept away,נסחף
swift,מהיר
swindler,רמאי
swing,"לנדנד, נדנדה"
switch,להחליף
switch,מתג
sword,חרב
syllable,הברה
symbol,סמל
symbolize,לסמל
symmetry,"סימטריה, התאמה"
sympathetic,אוהד
symptom,סימפטום
syndrome,תסמונת
syrup,סירופ
system,מערכת
system,שיטה
tact,טקט
taint,"להכתים, להכפיש"
taint,לזהם
tainted,"מוכתם, מזוהם"
take place,התרחש
tale,"סיפור, אגדה"
talent,כשרון
tame,"לאלף, לבית"
target,מטרה
task,משימה
taste,"טעם, לטעום"
tax,מס
team,צוות
temple,מקדש
temporary,זמני
tempt,לפתות
tend,נוטה
tendency,נטייה
tender,רך
tension,מתח
tent,אוהל
tentative,"ניסיוני, טנטטיבי"
terminate,"לסיים, לחסל"
terms,מונחים
terms,תנאים
terrain,שטח
terrify,"להפחיד, להבעית"
territory,"תחום, שטח"
testify,להעיד
texture,"מרקם, טקסטורה"
thank,"תודה, להודות"
thanks to  -,תודות ל
theater,בית קולנוע
theater,תיאטרון
theme,נושא
then,אז
theoretically,"תיאורטית, לכאורה"
theory,תיאוריה
there,שם
thereby  -,"ולכן, גרם ל"
therefore,לכן
thick,סמיך
thick,עבה
thief,גנב
though,למרות זאת
though  -,למרות ש
thousand,אלף
threat,איום
threaten,לאיים
thriller,מותחן
thrive,לשגשג
through,"דרך, מבעד"
throughout,"במשך, בכל"
throw,"לזרוק, זריקה"
thus  -,"לכן, כך ש"
ticket,כרטיס
tie,"לקשור, קשר"
tie,עניבה
tight,"הדוק, לחוץ, צמוד"
tilt,"להטות, שיפוע"
timber,עץ
